instrument,type,entry_time,entry_price,quantity,trigger_price,target_price,exit_time,exit_price,pnl,status,exit_reason,gross_pnl,net_pnl,charges,trailing_trigger,highest_price,_id_counter,trade_id
NSE_FO|42535,PE,2026-02-04 09:15:05.207586+05:30,227.75,65,214,327.75,2026-02-04 09:16:00.196000+05:30,213.95,-972.8505581750007,CLOSED,STOPLOSS_HIT,-897.0000000000007,-972.8505581750007,75.850558175,214,242.7,0,1
NSE_FO|42535,PE,2026-02-04 09:37:55.822412+05:30,177.1,65,164,277.1,2026-02-04 09:41:47.598000+05:30,163.95,-929.4318531375003,CLOSED,STOPLOSS_HIT,-854.7500000000003,-929.4318531375003,74.6818531375,164,181.65,0,2
NSE_FO|42524,CE,2026-02-04 09:41:59.293059+05:30,323.55,65,310,423.55,2026-02-04 09:46:00.655000+05:30,342.4,1146.5517438874977,CLOSED,STOPLOSS_HIT,1225.2499999999977,1146.5517438874977,78.69825611249998,310,345.75,0,3
NSE_FO|42524,CE,2026-02-04 09:54:55.792432+05:30,322.75,65,309,422.75,2026-02-04 10:22:00.948000+05:30,308.9,-978.3145902875015,CLOSED,STOPLOSS_HIT,-900.2500000000015,-978.3145902875015,78.0645902875,309,343.25,0,4
NSE_FO|42535,PE,2026-02-04 10:22:12.872366+05:30,164.8,65,151,264.8,,,0.0,ACTIVE,,0.0,0.0,0.0,151,182.7,0,5
